;Top_terms;Cluster;CIS_topic
0;[impacto ambiental, autovía, tramo, plan director, medio ambiente, previsiones, fomento, aeropuerto, tramos, estudios informativos, proyectos, alta velocidad, estudio, ejecución, boletín oficial, obras, presupuestos generales, n, conexión, infraestructuras];0;servicios públicos e infraestructuras
1;[seguridad social, pensiones, pensiones mínimas, protección social, sistema público, agentes sociales, situación económica, trabajadores, seguridad, reforma laboral, población activa, diálogo social, pensionistas, vida laboral, comisiones obreras, pensión, pacto, régimen general, datos, prestaciones];3;empleo
2;[código penal, seguridad, ciudadanos, defensa, partidos políticos, derechos, fuerzas políticas, ciudadanos españoles, sociedad, españoles, fomento, secretario general, s, familias españolas, datos, crisis económica, inmensa mayoría, seguridad vial, diputados pronuncian palabras, desarrollo];4;fuerzas armadas
3;[comunidad valenciana, comunidad, generalitat valenciana, medio ambiente, país valenciano, generalitat, obras, agua, trasvase, valencia, cortes generales, comunidades, voluntad política, reforma estatutaria, alta velocidad, inseguridad ciudadana, sociedad civil, modelo, tribunal constitucional, emisiones];5;medio ambiente
4;[sistema financiero, entidades financieras, caja castilla, crédito, banco, entidades, sistema financiero español, financiero, economía española, crisis económica, banco central europeo, crisis, economía, empresas, entidad, real decreto ley, crisis financiera, entidad financiera, política económica, activos];6;economía
5;[estabilidad presupuestaria, estabilidad, equilibrio presupuestario, déficit público, déficit cero, déficit, crecimiento económico, crecimiento, política económica, presupuestos generales, administraciones públicas, reformas fiscales, economía española, política fiscal, política presupuestaria, cuentas públicas, finanzas públicas, seguridad social, deuda pública, producto interior bruto];7;economía
6;[comisión nacional, gas natural, gas, opa, oficina económica, organismos reguladores, mercado, vicepresidente, real decreto ley, órganos reguladores, banco, precio, energía, martínez pujalte, energético, empresa, decisión, eléctrico, operación, responsabilidades políticas];10;economía
7;[ayudas, pesca, turismo, canarias, agricultura, industria, aeropuertos, flota, comercio, organización común, organización mundial, mercado, transporte aéreo, desarrollo rural, productos, español, producción, ayudas directas, productores, aeropuerto];11;economía
8;[política exterior, guerra, derechos humanos, legalidad internacional, comunidad internacional, ayuda humanitaria, destrucción masiva, sadam husein, irak, posición, derecho internacional, asuntos exteriores, pueblo iraquí, guerra ilegal, oriente medio, secretario general, seguridad, régimen iraquí, alianza atlántica, sáhara occidental];12;fuerzas armadas
9;[medio ambiente, desarrollo sostenible, cambio climático, incendios forestales, plan nacional, medio rural, confederación hidrográfica, dominio público marítimo terrestre, desarrollo, incendios, islas baleares, aguas, cabo, conferencia sectorial, efecto invernadero, litoral, aguas residuales, residuos, daños, medio];13;medio ambiente
10;[tribunal constitucional, televisión española, radiotelevisión española, televisión, tribunal, estatuto, derechos, televisión pública, interrupción voluntaria, derechos fundamentales, competencias, formación continua, constitución española, sentencia, constitución, derecho, constitucional, competencia, director general, servicio público];17;justicia
11;[tribunal supremo, tribunal constitucional, tribunal, supremo, audiencia nacional, ordenamiento jurídico, sentencia, batasuna, tribunal superior, partidos políticos, consejo general, tribunal europeo, partidos, política territorial, carrera judicial, país vasco, lucha antiterrorista, tierras vascas, parlamento vasco, política antiterrorista];18;terrorismo
12;[financiación autonómica, financiación, financiación local, política fiscal, corporaciones locales, modelo, suficiencia financiera, ayuntamientos, servicios públicos, comunidades, corresponsabilidad fiscal, local, crisis económica, presupuestos generales, impuestos, haciendas locales, déficit público, recursos, administraciones públicas, política territorial];19;economía
13;[economía española, economía, crecimiento, crecimiento económico, política económica, zona euro, precios, fondo monetario internacional, media europea, inflación, economía mundial, crisis, evolución, reformas estructurales, banco central europeo, seguridad social, reforma laboral, contabilidad nacional, crisis económica, vicepresidente];20;economía
14;[diálogo social, agentes sociales, diálogo, siniestralidad laboral, riesgos laborales, mercado laboral, protección social, accidentes, interlocutores sociales, huelga general, seguridad social, siniestralidad, accidentes laborales, trabajadores, reforma laboral, accidentes mortales, asuntos sociales, comisiones obreras, acuerdo social, negociación colectiva];21;empleo
15;[política económica, déficit público, déficit, deuda pública, reformas estructurales, deuda, crisis económica, economía española, sistema financiero, crecimiento económico, cuentas públicas, fondo monetario internacional, reformas, política fiscal, crisis, economía, administraciones públicas, gasto público, zona euro, consolidación fiscal];22;economía
16;[inmigración, inmigrantes, inmigración ilegal, inmigración irregular, inmigrantes ilegales, efecto llamada, inmigrantes irregulares, flujos migratorios, seres humanos, inmigración legal, situación irregular, derechos humanos, regularización, áfrica subsahariana, fronteras, fuerzas políticas, canarias, guardia civil, países africanos, proceso];23;social
17;[administraciones públicas, administración general, administración, administración pública, servicios públicos, función pública, empleados públicos, administración electrónica, administraciones, corporaciones locales, altos cargos, servicios, administración local, funcionarios públicos, entidades locales, crisis económica, competencias, público, funcionarios, servicio público];24;servicios públicos e infraestructuras
18;[consejo general, justicia, judicial, oficina judicial, jueces, servicio público, planta judicial, órganos judiciales, secretarios judiciales, tutela judicial efectiva, carrera judicial, tribunal supremo, independencia judicial, servicio, juicios rápidos, enjuiciamiento criminal, sistema judicial, código penal, justicia gratuita, administración];25;justicia
19;[obras, obra pública, museo, obras públicas, fomento, plan extraordinario, corredor mediterráneo, obra, corredor, inversión, confederación hidrográfica, infraestructuras, inversión pública, presupuestos generales, metros cuadrados, voluntad política, ejecución, n, girona, autoridad portuaria];27;servicios públicos e infraestructuras
20;[violencia, mujeres, ley integral, mujeres víctimas, víctimas, violencia doméstica, género, malos tratos, código penal, consejo general, violencia machista, poderes públicos, protección integral, mujeres maltratadas, protección, sociedad, mujer, lacra social, juzgados, renta activa];28;social
21;[salud pública, salud, organización mundial, consejo interterritorial, sistema nacional, sanidad, profesionales sanitarios, consumo, sociedades científicas, medidas preventivas, servicios sanitarios, autoridades sanitarias, evidencia científica, comité científico, enfermedad, atención sanitaria, enfermedades, problema, ley general, vacas locas];30;salud
22;[plan hidrológico nacional, agua, medio ambiente, plan hidrológico, consejo nacional, san pedro, recursos hídricos, obras, trasvase, aguas residuales, comunidad valenciana, cuenca, agua desalada, confederación hidrográfica, agua potable, impacto ambiental, aguas, provincia, planta, sequía];31;medio ambiente
23;[universidad, universidad española, educación superior, universidades, espacio europeo, comunidad universitaria, universidades españolas, sistema universitario, estudiantes, becas, estudiantes universitarios, educación, movilidad, sistema educativo, dimensión social, becas erasmus, decreto, autonomía, proceso, oportunidades];34;educación
24;[audiencia nacional, caso faisán, interior, lucha antiterrorista, director general, eta, responsabilidad política, investigación judicial, responsabilidades políticas, justicia, policía, doble moral, organización terrorista, fiscal general, política antiterrorista, banda terrorista eta, cuerpo nacional, víctimas, juez, democracia española];41;terrorismo
25;[presupuestos generales, presupuestos, inversiones, inversión, crecimiento económico, déficit público, inversión pública, recuperación económica, crisis económica, déficit, gasto social, política económica, comisión bilateral, esquerra republicana, partida presupuestaria, canarias, convergència i, infraestructuras, crisis, gasto];42;economía
26;[guardia civil, guardias civiles, cuerpo nacional, interior, director general, policía, seguridad, policía nacional, policía judicial, seguridad pública, seguridad ciudadana, policías, fuerzas, delincuencia, derechos humanos, ciudadanos, operación, eta, cuerpos, miembros];44;inseguridad ciudadana
